t,tenant,label,container,mem_mib
1789273200.216,a,idle,vt-t12-a,1042.4
1789273200.216,b,idle,vt-t12-b,1039.4
1789273206.706,a,idle,vt-t12-a,1042.4
1789273206.706,b,idle,vt-t12-b,1039.4
1789273212.982,a,idle,vt-t12-a,1043.5
1789273212.982,b,idle,vt-t12-b,1040.4
1789273219.265,a,idle,vt-t12-a,1044.5
1789273219.265,b,idle,vt-t12-b,1040.4
1789273225.504,a,idle,vt-t12-a,1047.6
1789273225.504,b,idle,vt-t12-b,1039.4
1789273231.753,a,idle,vt-t12-a,1047.6
1789273231.753,b,idle,vt-t12-b,1039.4
1789273238.066,a,idle,vt-t12-a,1047.6
1789273238.066,b,idle,vt-t12-b,1039.4
1789273244.387,a,idle,vt-t12-a,1048.6
1789273244.387,b,idle,vt-t12-b,1039.4
1789273250.713,a,idle,vt-t12-a,1048.6
1789273250.713,b,idle,vt-t12-b,1040.4
1789273256.99,a,idle,vt-t12-a,1047.6
1789273256.99,b,idle,vt-t12-b,1040.4
1789273263.302,a,idle,vt-t12-a,1053.7
1789273263.302,b,idle,vt-t12-b,1039.4
1789273269.589,a,idle,vt-t12-a,1050.6
1789273269.589,b,idle,vt-t12-b,1039.4
1789273275.905,a,idle,vt-t12-a,1061.9
1789273275.905,b,idle,vt-t12-b,1039.4
1789273282.162,a,idle,vt-t12-a,1048.6
1789273282.162,b,idle,vt-t12-b,1285.1
1789273288.45,a,active-web-b,vt-t12-a,1047.6
1789273288.45,b,active-web-b,vt-t12-b,1298.4
1789273294.735,a,active-web-b,vt-t12-a,1048.6
1789273294.735,b,active-web-b,vt-t12-b,1290.2
1789273301.033,a,active-im,vt-t12-a,1365.0
1789273301.033,b,active-im,vt-t12-b,1424.4
1789273307.338,a,active-im,vt-t12-a,1365.0
1789273307.338,b,active-im,vt-t12-b,1455.1
1789273313.619,a,active-im,vt-t12-a,1410.0
1789273313.619,b,active-im,vt-t12-b,1336.3
1789273319.857,a,active-im,vt-t12-a,1252.4
1789273319.857,b,active-im,vt-t12-b,1294.3
1789273326.15,b,reclaim,vt-t12-b,1299.5
1789273331.173,b,reclaim,vt-t12-b,98.0
1789273335.517,b,reclaim,vt-t12-b,193.7
1789273339.926,b,reclaim,vt-t12-b,622.2
1789273344.286,b,reclaim,vt-t12-b,923.7
1789273348.66,b,reclaim,vt-t12-b,1049.6
1789273353.091,a,reclaim,vt-t12-a,212.0
1789273353.091,b,reclaim,vt-t12-b,1049.6
1789273359.343,a,reclaim,vt-t12-a,579.6
1789273359.343,b,reclaim,vt-t12-b,1049.6
1789273365.643,a,reclaim,vt-t12-a,976.9
1789273365.643,b,reclaim,vt-t12-b,1050.6
1789273371.941,a,reclaim,vt-t12-a,1205.2
1789273371.941,b,reclaim,vt-t12-b,768.3
1789273378.195,a,reclaim,vt-t12-a,1289.2
1789273382.629,a,reclaim,vt-t12-a,1297.4
1789273387.033,a,reclaim,vt-t12-a,1290.2
1789273391.442,a,reclaim,vt-t12-a,1019.0
1789273395.853,a,reclaim,vt-t12-a,164.0
1789273400.247,a,reclaim,vt-t12-a,388.2
1789273404.643,a,reclaim,vt-t12-a,696.5
1789273409.063,a,reclaim,vt-t12-a,974.7
1789273413.478,a,reclaim,vt-t12-a,1026.0
1789273413.478,b,reclaim,vt-t12-b,207.2
1789273419.724,a,reclaim,vt-t12-a,1026.0
1789273419.724,b,reclaim,vt-t12-b,559.6
1789273425.997,a,reclaim,vt-t12-a,1026.0
1789273425.997,b,reclaim,vt-t12-b,981.0
1789273432.287,a,reclaim,vt-t12-a,1027.1
1789273432.287,b,reclaim,vt-t12-b,1027.1
