t,tenant,label,container,mem_mib
1789272490.453,a,idle,vt-t12-a,1248.3
1789272490.453,b,idle,vt-t12-b,1047.6
1789272496.816,a,idle,vt-t12-a,1248.3
1789272496.816,b,idle,vt-t12-b,1047.6
1789272503.01,a,idle,vt-t12-a,1248.3
1789272503.01,b,idle,vt-t12-b,1046.5
1789272509.186,a,idle,vt-t12-a,1249.3
1789272509.186,b,idle,vt-t12-b,1046.5
1789272515.403,a,idle,vt-t12-a,1249.3
1789272515.403,b,idle,vt-t12-b,1047.6
1789272521.554,a,idle,vt-t12-a,1249.3
1789272521.554,b,idle,vt-t12-b,1047.6
1789272527.777,a,idle,vt-t12-a,1249.3
1789272527.777,b,idle,vt-t12-b,1047.6
1789272533.974,a,idle,vt-t12-a,1249.3
1789272533.974,b,idle,vt-t12-b,1047.6
1789272540.149,a,idle,vt-t12-a,1249.3
1789272540.149,b,idle,vt-t12-b,1047.6
1789272546.398,a,idle,vt-t12-a,1249.3
1789272546.398,b,idle,vt-t12-b,1047.6
1789272552.636,a,idle,vt-t12-a,1254.4
1789272552.636,b,idle,vt-t12-b,1047.6
1789272558.823,a,idle,vt-t12-a,1254.4
1789272558.823,b,idle,vt-t12-b,1047.6
1789272565.031,a,idle,vt-t12-a,1263.6
1789272565.031,b,idle,vt-t12-b,1047.6
1789272571.186,a,active-web-b,vt-t12-a,1267.7
1789272571.186,b,active-web-b,vt-t12-b,1328.1
1789272577.338,a,active-web-b,vt-t12-a,1281.0
1789272577.338,b,active-web-b,vt-t12-b,1290.2
1789272583.54,a,active-im,vt-t12-a,1621.0
1789272583.54,b,active-im,vt-t12-b,1412.1
1789272589.705,a,active-im,vt-t12-a,1720.3
1789272589.705,b,active-im,vt-t12-b,1431.6
1789272595.881,a,active-im,vt-t12-a,1681.4
1789272595.881,b,active-im,vt-t12-b,1324.0
1789272602.044,a,active-im,vt-t12-a,1527.8
1789272602.044,b,active-im,vt-t12-b,1328.1
1789272608.183,b,reclaim,vt-t12-b,1055.7
1789272614.317,b,reclaim,vt-t12-b,127.3
1789272619.086,b,reclaim,vt-t12-b,298.0
1789272623.838,b,reclaim,vt-t12-b,375.2
1789272628.632,b,reclaim,vt-t12-b,375.2
1789272633.447,b,reclaim,vt-t12-b,606.3
1789272638.222,b,reclaim,vt-t12-b,966.5
1789272643.039,b,reclaim,vt-t12-b,1036.3
1789272647.857,a,reclaim,vt-t12-a,30.7
1789272647.857,b,reclaim,vt-t12-b,1035.3
1789272654.029,a,reclaim,vt-t12-a,619.5
1789272654.029,b,reclaim,vt-t12-b,1035.3
1789272660.173,a,reclaim,vt-t12-a,992.3
1789272660.173,b,reclaim,vt-t12-b,1035.3
1789272666.375,a,reclaim,vt-t12-a,1262.6
1789272672.582,a,reclaim,vt-t12-a,1291.3
1789272677.351,a,reclaim,vt-t12-a,1283.1
1789272682.143,a,reclaim,vt-t12-a,1283.1
1789272686.941,a,reclaim,vt-t12-a,313.1
1789272691.763,b,reclaim,vt-t12-b,30.7
1789272696.55,b,reclaim,vt-t12-b,521.9
1789272701.348,b,reclaim,vt-t12-b,867.4
1789272706.134,b,reclaim,vt-t12-b,1028.1
